dataset,conceptnet
0.000,0.225
0.100,0.464
0.050,0.368
0.184,0.590
0.066,0.261
0.083,0.264
0.015,0.267
0.033,0.344
0.116,0.487
0.150,0.166
0.116,0.368
0.066,0.743
0.150,0.291
0.017,0.328
0.116,0.407
0.017,0.314
0.150,0.302
0.184,0.403
0.167,0.421
0.100,0.602
0.106,0.639
0.066,0.295
0.066,0.479
0.050,0.350
0.066,0.431
0.184,0.402
0.033,0.383
0.100,0.461
0.137,0.400
0.100,0.401
0.000,0.211
0.050,0.149
0.134,0.344
0.066,0.286
0.200,0.377
0.050,0.282
0.000,0.748
0.050,0.305
0.050,0.307
0.033,0.566
0.150,0.333
0.184,0.615
0.100,0.380
0.000,0.345
0.050,0.271
0.134,0.293
0.100,0.220
0.017,0.793
0.100,0.385
0.033,0.346
0.033,0.366
0.033,0.188
0.316,0.454
0.033,0.497
0.033,0.269
0.134,0.291
0.050,0.285
0.050,0.194
0.083,0.236
0.083,0.343
0.030,0.258
0.033,0.519
0.200,0.364
0.000,0.207
0.083,0.416
0.015,0.360
0.134,0.552
0.050,0.551
0.083,0.447
0.066,0.693
0.033,0.594
0.000,0.366
0.134,0.566
0.083,0.301
0.184,0.676
0.000,0.155
0.017,0.383
0.033,0.212
0.100,0.317
0.015,0.238
0.300,0.523
0.091,0.443
0.116,0.384
0.017,0.180
0.116,0.391
0.100,0.829
0.083,0.269
0.150,0.473
0.150,0.347
0.033,0.439
0.033,0.466
0.150,0.432
0.017,0.186
0.050,0.451
0.033,0.203
0.066,0.399
0.017,0.320
0.017,0.475
0.066,0.457
0.116,0.381
0.050,0.247
0.033,0.454
0.017,0.686
0.050,0.550
0.033,0.350
0.066,0.406
0.167,0.375
0.116,0.400
0.000,0.681
0.150,0.473
0.083,0.265
0.116,0.268
0.150,0.540
0.250,0.573
0.000,0.346
0.030,0.271
0.033,0.191
0.184,0.484
0.050,0.455
0.116,0.340
0.017,0.204
0.184,0.524
0.100,0.473
0.083,0.490
0.000,0.180
0.116,0.224
0.033,0.374
0.250,0.592
0.100,0.353
0.316,0.680
0.033,0.370
0.050,0.460
0.134,0.622
0.200,0.495
0.316,0.564
0.167,0.445
0.258,0.640
0.000,0.442
0.066,0.285
0.283,0.693
0.017,0.402
0.017,0.275
0.015,0.428
0.116,0.364
0.066,0.309
0.350,0.767
0.050,0.240
0.017,0.322
0.050,0.338
0.100,0.265
0.033,0.344
0.017,0.369
0.000,0.186
0.033,0.494
0.150,0.289
0.000,0.221
0.033,0.208
0.000,0.410
0.017,0.170
0.017,0.421
0.100,0.327
0.000,0.205
0.017,0.211
0.050,0.304
0.050,0.386
0.200,0.770
0.783,0.278
0.017,0.173
0.184,0.391
0.116,0.353
0.050,0.309
0.167,0.472
0.316,0.488
0.100,0.376
0.050,0.429
0.000,0.255
0.200,0.573
0.083,0.617
0.066,0.404
0.150,0.424
0.182,0.577
0.066,0.530
0.150,0.641
0.033,0.170
0.150,0.447
0.066,0.489
0.233,0.484
0.045,0.544
0.066,0.414
0.050,0.246
0.083,0.636
0.033,0.198
0.083,0.371
0.050,0.460
0.017,0.348
0.017,0.237
0.083,0.266
0.033,0.212
0.083,0.212
0.033,0.454
0.017,0.274
0.217,0.646
0.050,0.320
0.033,0.111
0.083,0.264
0.100,0.388
0.033,0.369
0.100,0.382
0.300,0.623
0.050,0.292
0.066,0.417
0.100,0.391
0.100,0.453
0.267,0.472
0.017,0.237
0.017,0.351
0.066,0.347
0.134,0.537
0.033,0.427
0.017,0.483
0.116,0.253
0.066,0.254
0.050,0.196
0.116,0.179
0.083,0.516
0.116,0.275
0.150,0.482
0.116,0.428
0.050,0.221
0.066,0.394
0.167,0.411
0.150,0.328
0.300,0.477
0.100,0.290
0.033,0.455
0.083,0.433
0.150,0.644
0.033,0.172
0.167,0.494
