word_pair	sense_relation	dataset_sim	conceptnet_sim	glove_sim	ernie_sim
black white	antonym	0.7	0.732671002	0.860379527	0.669527464
blonde dark	antonym	0.38	0.27955004	0.427398882	0.332989366
bright dark	antonym	0.66	0.392768035	0.638002009	0.427622296
bright glitter	antonym	0.7	0.488197285	0.479493547	0.318734764
bright mist	antonym	0.3	0.141110694	0.341203415	0.146447804
bright shade	antonym	0.52	0.303070833	0.571888927	0.235628024
cloud sunny	antonym	0.6	0.292192745	0.321156189	0.225818031
cloud sunshine	antonym	0.68	0.265529285	0.372659867	0.220202651
cold hot	antonym	0.66	0.505714915	0.596949631	0.478698567
construction demolition	antonym	0.66	0.544211414	0.578099501	0.449379861
dawn dusk	antonym	0.76	0.679057065	0.740647611	0.501516883
dawn night	antonym	0.72	0.319279804	0.516780597	0.403305709
day night	antonym	0.78	0.557088932	0.705251045	0.585915446
dusk morning	antonym	0.66	0.494508585	0.488336624	0.34799389
dusk sunrise	antonym	0.7	0.661015003	0.72778548	0.407691284
evening morning	antonym	0.64	0.721129673	0.787341276	0.70588705
fall stand	antonym	0.42	0.183743179	0.480760254	0.305187854
floor roof	antonym	0.78	0.425706474	0.618014132	0.445300994
interior outdoor	antonym	0.58	0.295484749	0.378798182	0.265466618
light shade	antonym	0.78	0.422848078	0.577797211	0.321687708
light shadow	antonym	0.74	0.337182924	0.480244582	0.321976164
man woman	antonym	0.84	0.70938157	0.740578288	0.544389688
mountain valley	antonym	0.82	0.503246307	0.682940037	0.438211146
sit stand	antonym	0.7	0.536503144	0.687595292	0.47300658
summer winter	antonym	0.74	0.712650129	0.821880883	0.673919033
sunrise sunset	antonym	0.84	0.781490314	0.869609185	0.58775187
abandon railroad	capable_of	0.36	0.002057225	0.238001421	0.282412429
abandon soldier	capable_of	0.54	0.023241206	0.271322499	0.148844335
aircraft fly	capable_of	0.82	0.499878633	0.565709144	0.346175938
airplane fly	capable_of	0.82	0.543061334	0.617984665	0.328889959
ancient city	capable_of	0.58	0.123904291	0.436337217	0.211365585
apple blossom	capable_of	0.62	0.245218394	0.460997433	0.243125234
automobile parking	capable_of	0.82	0.290234516	0.320076206	0.350012851
ball drop	capable_of	0.62	0.159464418	0.422905115	0.219793375
band play	capable_of	0.74	0.128117002	0.343077604	0.213068255
bloom daffodil	capable_of	0.78	0.569910626	0.553764044	0.22653444
bloom daisy	capable_of	0.82	0.448633486	0.483266112	0.23125476
bloom dandelion	capable_of	0.8	0.42250068	0.446189226	0.222614849
bloom flower	capable_of	0.86	0.744683653	0.666152163	0.482334781
bloom foliage	capable_of	0.68	0.446233713	0.646133698	0.359082381
bloom lily	capable_of	0.68	0.461947777	0.617181926	0.285154382
bloom plant	capable_of	0.7	0.372267433	0.484090473	0.269615522
bloom rose	capable_of	0.86	0.46923896	0.479012612	0.251251277
bloom tulip	capable_of	0.86	0.463282831	0.492234067	0.197211177
blossom cherry	capable_of	0.74	0.398972633	0.584430854	0.246894748
blossom daffodil	capable_of	0.86	0.551802786	0.548827275	0.177354134
blossom daisy	capable_of	0.74	0.504075531	0.526399065	0.266835587
blossom flower	capable_of	0.84	0.784367069	0.708310378	0.491580677
blossom foliage	capable_of	0.76	0.368172085	0.505595057	0.328124767
blossom fruit	capable_of	0.68	0.345467206	0.535081153	0.39494496
blossom ivy	capable_of	0.58	0.310905854	0.462255513	0.303196976
blossom orange	capable_of	0.68	0.283609464	0.50984879	0.249426608
blossom purple	capable_of	0.62	0.29517961	0.522029612	0.295679225
blossom tree	capable_of	0.7	0.305584881	0.485171159	0.287023817
blossom violet	capable_of	0.6	0.379991872	0.558487008	0.307119539
boat sink	capable_of	0.7	0.261390178	0.359377043	0.278138789
burger frozen	capable_of	0.38	0.184705972	0.395721966	0.213304883
butterfly transformer	capable_of	0.36	0.044092971	0.132866558	0.206197915
canine lick	capable_of	0.5	0.164945509	0.220607659	0.289086762
canine run	capable_of	0.52	0.047924148	0.112468923	0.129574063
car park	capable_of	0.66	0.247076396	0.417920338	0.262134996
car parking	capable_of	0.72	0.398150256	0.504070725	0.361770054
castle ruin	capable_of	0.5	0.173342709	0.392464723	0.249748141
cat lick	capable_of	0.68	0.220304942	0.358370787	0.237091468
cathedral ruin	capable_of	0.46	0.072415653	0.257990802	0.198213972
ceramic colour	capable_of	0.42	0.039164296	0.272902344	0.248872143
chapel ruin	capable_of	0.56	0.066815009	0.217391211	0.182230732
child fun	capable_of	0.54	0.16239878	0.318197601	0.192016256
city ruin	capable_of	0.58	0.052842311	0.319151028	0.157645894
club play	capable_of	0.34	0.122331386	0.393969806	0.270225443
cold ear	capable_of	0.36	0.026700903	0.36140379	0.148890033
cold weather	capable_of	0.72	0.448413846	0.589878725	0.321159008
cow pregnancy	capable_of	0.4	0.062315549	0.276380084	0.275381017
curl whisker	capable_of	0.42	0.279722361	0.332128455	0.218058984
demolition skyscraper	capable_of	0.44	0.337882868	0.388365777	0.355358927
dessert frozen	capable_of	0.64	0.303116913	0.475241127	0.279429257
dog lick	capable_of	0.66	0.218007264	0.373181076	0.269045607
doodle scratch	capable_of	0.56	0.261154029	0.281339378	0.242689005
downtown ruin	capable_of	0.4	0.037596107	0.213538669	0.219226765
face happy	capable_of	0.64	0.058715844	0.402967535	0.197893013
face smile	capable_of	0.76	0.451783486	0.597139018	0.360890099
fall tear	capable_of	0.62	0.244367961	0.384065791	0.181913701
flight fly	capable_of	0.84	0.679087468	0.645134664	0.44667184
flight owl	capable_of	0.74	0.147385672	0.231016492	0.240451654
flight plane	capable_of	0.9	0.724297019	0.705625132	0.414206491
food frozen	capable_of	0.74	0.2098359	0.462943129	0.262161537
ford river	capable_of	0.54	0.142690674	0.271894607	0.223808804
friend love	capable_of	0.64	0.25097505	0.56206779	0.35186202
friend sexy	capable_of	0.28	0.018997055	0.347881944	0.200646196
frozen meat	capable_of	0.68	0.28012411	0.545250851	0.263173879
frozen raspberry	capable_of	0.62	0.222353323	0.390198923	0.178404373
frozen soup	capable_of	0.34	0.238290195	0.517878376	0.26350244
graveyard ruin	capable_of	0.54	0.107974778	0.39062875	0.280355445
guy kiss	capable_of	0.38	-0.008434101	0.450231603	0.191180489
guy sleep	capable_of	0.5	-0.037514034	0.272923409	0.127614607
guy smile	capable_of	0.44	0.047823582	0.422524124	0.212823343
guy sport	capable_of	0.62	0.075665438	0.273652152	0.227810337
guy stand	capable_of	0.32	0.119767886	0.424086563	0.182559067
hair haircut	capable_of	0.86	0.721321133	0.658820082	0.776498798
heart love	capable_of	0.8	0.320153558	0.526642023	0.303126906
idea people	capable_of	0.4	0.161957704	0.556388567	0.248681331
iron rusty	capable_of	0.64	0.290750694	0.430117702	0.298876443
jean wash	capable_of	0.42	0.126742048	0.332471933	0.272943969
jump leg	capable_of	0.62	0.045107755	0.382727602	0.234642042
kiss lip	capable_of	0.82	0.357455102	0.498406883	0.272253209
kitty lick	capable_of	0.58	0.269639836	0.413893917	0.269586122
lick puppy	capable_of	0.58	0.199771226	0.363818323	0.279911912
lily purple	capable_of	0.54	0.242909606	0.522337908	0.334030313
lip smile	capable_of	0.66	0.278081581	0.46677269	0.280328256
monument ruin	capable_of	0.58	0.114516564	0.295297547	0.24325578
musician sing	capable_of	0.72	0.330467798	0.407215189	0.296620174
nail rusty	capable_of	0.46	0.173798284	0.318362569	0.22006404
old town	capable_of	0.48	0.086904167	0.437593563	0.225979733
palace ruin	capable_of	0.52	0.116056326	0.324727383	0.234163112
pregnant woman	capable_of	0.82	0.279514883	0.642006369	0.347313971
reptile swim	capable_of	0.34	0.178355981	0.252666109	0.250033404
ruin skyline	capable_of	0.48	0.144760093	0.276134611	0.197037927
ruin tower	capable_of	0.36	0.10784889	0.284198037	0.222293628
ruin town	capable_of	0.42	0.087168267	0.377268405	0.203590764
ruin village	capable_of	0.48	0.096817981	0.299300553	0.201198475
ship sink	capable_of	0.66	0.265843527	0.32908497	0.216146428
abandon ruin	causes	0.64	0.250596314	0.498021928	0.294080726
abstract feel	causes	0.32	0.023260439	0.216191656	0.170782706
air dew	causes	0.46	0.236512147	0.324962979	0.209527979
architecture shade	causes	0.48	0.082736897	0.185987184	0.217000223
autumn sunny	causes	0.72	0.216316243	0.56443391	0.324451655
autumn sunshine	causes	0.64	0.243440901	0.570615691	0.261540741
bakery bread	causes	0.96	0.557146458	0.613558007	0.452374806
bakery cake	causes	0.86	0.531603803	0.552518919	0.443713207
band music	causes	0.82	0.495920381	0.616770035	0.401837023
bar cocktail	causes	0.88	0.429837846	0.483895366	0.275849028
birthday happy	causes	0.72	0.358208478	0.619079052	0.275825924
book write	causes	0.72	0.348894417	0.532729397	0.357259238
burn fire	causes	0.84	0.633587311	0.56982248	0.393380726
burn flame	causes	0.92	0.628513292	0.569285835	0.360362634
butterfly caterpillar	causes	0.92	0.424702696	0.460255696	0.316098182
cafe coffee	causes	0.8	0.654025655	0.64945878	0.487480553
cloud rain	causes	0.8	0.367866207	0.42029121	0.35088206
cold frost	causes	0.78	0.529518959	0.529387392	0.375482522
cold frozen	causes	0.84	0.559332028	0.597285265	0.404895058
cold mist	causes	0.54	0.263512147	0.471261642	0.223162642
cold misty	causes	0.5	0.250341973	0.383179598	0.18921785
dawn sun	causes	0.8	0.37860608	0.609745404	0.397758272
dead hang	causes	0.4	0.088269134	0.374801147	0.205134228
dew frost	causes	0.62	0.387960431	0.504282682	0.287520142
dew misty	causes	0.78	0.398623204	0.465829114	0.245575914
drip hot	causes	0.4	0.155142244	0.349926012	0.254411735
drip water	causes	0.72	0.385328539	0.479362042	0.271996983
drip wet	causes	0.76	0.261154027	0.4046746	0.246048306
explosion fire	causes	0.7	0.423310279	0.580388075	0.331217226
eye tear	causes	0.82	0.270010127	0.472891989	0.278119848
feel kiss	causes	0.6	0.076675139	0.400208395	0.230724532
feel smile	causes	0.56	0.101954909	0.499237638	0.252842908
feel tear	causes	0.48	-0.046408955	0.381547167	0.232793992
fire smoke	causes	0.88	0.470332623	0.618393736	0.381271936
flood water	causes	0.88	0.38518359	0.506176942	0.335475952
foliage shade	causes	0.58	0.343360777	0.594257889	0.342855102
friend fun	causes	0.58	0.069846506	0.43627688	0.226826215
friend happy	causes	0.68	0.051676039	0.598675356	0.23021643
friend smile	causes	0.6	0.074747742	0.4603533	0.267092185
frost winter	causes	0.86	0.457824393	0.539429195	0.365723957
fun happy	causes	0.82	0.339180877	0.624497278	0.301518666
garbage lunch	causes	0.34	0.070189382	0.244464333	0.212017471
goat milk	causes	0.72	0.400659432	0.570207119	0.320556544
grape vine	causes	0.88	0.672916361	0.687761467	0.44141011
happy kiss	causes	0.52	0.0766108	0.471064528	0.219449179
happy smile	causes	0.8	0.404518482	0.596039952	0.391659083
happy tear	causes	0.54	0.025853573	0.291307455	0.211780436
hawk nest	causes	0.78	0.366087739	0.491826973	0.235536858
hot sunny	causes	0.76	0.288545585	0.42826979	0.311026544
hot sunshine	causes	0.74	0.20779028	0.383486943	0.233099394
hummingbird nest	causes	0.7	0.370280568	0.491470339	0.30830445
kiss love	causes	0.78	0.331056934	0.561256876	0.361372003
love smile	causes	0.62	0.149475269	0.513001846	0.29702181
mist rain	causes	0.82	0.447832749	0.531597216	0.279566713
mist wet	causes	0.78	0.283466177	0.460144578	0.266755223
misty rain	causes	0.78	0.348047117	0.498284676	0.250535387
mural paint	causes	0.76	0.548371639	0.455486552	0.300355009
music musician	causes	0.82	0.646352636	0.627892964	0.55886966
music piano	causes	0.88	0.565673552	0.635760022	0.431995522
nest reptile	causes	0.54	0.163180232	0.314811387	0.162577232
photo photography	causes	0.94	0.729144856	0.638637972	0.544900366
photographer portrait	causes	0.76	0.492375079	0.620204074	0.378516459
plant seed	causes	0.8	0.384603424	0.53673211	0.278742271
pool splash	causes	0.76	0.360466331	0.391083571	0.342698073
puddle rain	causes	0.72	0.291524524	0.44998255	0.326711658
puddle splash	causes	0.84	0.516098488	0.474023076	0.299716992
rain sky	causes	0.74	0.263438574	0.55415601	0.346831626
rain storm	causes	0.98	0.583832863	0.720801154	0.427497029
shade sun	causes	0.68	0.398831368	0.586511549	0.31196312
shade sunlight	causes	0.6	0.488663239	0.591611849	0.32685769
shade tree	causes	0.9	0.284131801	0.458927077	0.25929258
shadow sunlight	causes	0.82	0.299092805	0.390543179	0.320077532
splash swim	causes	0.84	0.323251795	0.411450583	0.342316734
splash swimming	causes	0.9	0.279991307	0.36083461	0.352292707
storm wind	causes	0.84	0.47079177	0.633028423	0.396885344
summer sunshine	causes	0.78	0.348096918	0.560957417	0.245940508
sun sunrise	causes	0.88	0.560410988	0.656922088	0.443538606
amphibian bird	co_hyponym	0.58	0.238681244	0.43646935	0.246302108
amphibian insect	co_hyponym	0.54	0.389219044	0.53700388	0.230432635
amphibian mammal	co_hyponym	0.74	0.493838842	0.650433912	0.199428771
amphibian reptile	co_hyponym	0.82	0.564296508	0.631138848	0.334992085
apple cherry	co_hyponym	0.76	0.42127906	0.593062	0.314167958
apple orange	co_hyponym	0.86	0.385659655	0.55735512	0.342910165
apple raspberry	co_hyponym	0.78	0.402598724	0.598384695	0.268293454
autumn spring	co_hyponym	0.88	0.638610299	0.656469802	0.546208594
autumn summer	co_hyponym	0.74	0.683638618	0.734941127	0.630452286
autumn winter	co_hyponym	0.74	0.670539321	0.780473452	0.583369047
bacon beef	co_hyponym	0.7	0.544820045	0.697628411	0.347153978
bacon bread	co_hyponym	0.58	0.456830662	0.689555624	0.374242572
bacon burger	co_hyponym	0.62	0.530176577	0.707305209	0.422823961
bacon chicken	co_hyponym	0.72	0.529043081	0.7222082	0.397999493
bacon pepper	co_hyponym	0.56	0.416985728	0.641505682	0.246243823
bacon potato	co_hyponym	0.56	0.453186877	0.691015518	0.289403702
bacon salad	co_hyponym	0.6	0.409803138	0.707830546	0.339149966
bacon sandwich	co_hyponym	0.56	0.541584823	0.708004059	0.360971251
bacon soup	co_hyponym	0.64	0.342812555	0.651663277	0.27842095
bacon tomato	co_hyponym	0.56	0.38435194	0.665049795	0.366723931
bag pillow	co_hyponym	0.62	0.308575448	0.508826026	0.318858465
bakery cafe	co_hyponym	0.66	0.501770459	0.606049954	0.491932853
